count	reward_sum	squared_reward_sum	length
0	-104.64003527443856	10003.843929580771	110
1	-118.31625192053616	10004.296485748157	140
2	-118.68440913967788	10005.981804921872	82
3	-109.35619740001857	10002.199526288356	56
4	-111.72663581743836	10003.110021940473	66
5	-133.02274319110438	30.034985169817972	2000
6	-104.79042240232229	10000.865010999212	52
7	-121.83020605519414	10007.650782178463	85
8	-138.05255569031578	23.631854041399716	2000
9	-106.67054725345224	10001.5770715572	72
10	-112.72587195970118	10005.095527780271	49
11	-141.93525585439056	24.891105581652333	2000
12	-114.95277673657984	10004.396991696414	113
13	-103.92731054127216	10001.019456338376	53
14	-131.9761720682436	22.247142766994646	2000
15	-110.12006356345955	10003.847974855502	42
16	-224.01128845382482	10027.34519886809	1796
17	-124.79544988792622	19.43331439635396	2000
18	-115.41429187450558	15.715494357124982	2000
19	-126.95484850241337	16.530287772118296	2000
20	-106.04765617940575	10000.895717500136	85
21	-103.30849821353331	10000.591998016866	64
22	-111.24183154758066	10002.870369825785	60
23	-102.61396687757224	10000.896793698896	66
24	-124.23597118724138	16.10173988521937	2000
25	-103.19112403388135	10000.759474754348	74
26	-111.16253639711067	10003.028501399182	69
27	-121.53435899526812	15.569849776345263	2000
28	-104.35933501366526	10001.128667808864	81
29	-103.79356872849166	10000.55750950324	52
30	-103.1517606312409	10000.641404503056	57
31	-108.37210366409272	10001.587311372441	180
32	-104.32858715672046	10000.868533124472	87
33	-116.25242545548826	10003.871251485005	108
34	-121.65733333223034	16.62145795780348	2000
35	-107.82953878765693	13.37063839500641	2000
36	-131.79565872438252	10007.86380169998	261
37	-117.47677352256142	15.228475770474695	2000
38	-195.89190830942243	10014.525542168312	1681
39	-102.58743621688336	10001.36281523868	51
40	-103.17179490160197	10001.364574194753	74
41	-110.96061845496297	10005.001408856262	49
42	-102.34384291153401	10000.98646916178	76
43	-104.05583087587729	10001.69924087028	72
44	-102.87220517080277	10001.96291365849	65
45	-104.01053912006319	10001.018886414387	54
46	-120.56063461667509	14.899446656520002	2000
47	-114.25874917209148	10005.42058071766	74
48	-102.19976607523859	10001.210540338747	94
49	-203.8942218645243	10013.17813269232	1895
50	-119.79457526654005	10006.722447663444	117
51	-153.50393569516018	10007.97006726785	1083
52	-149.19645485997899	10008.235440532342	525
53	-101.1908143130131	10000.917481347993	75
54	-104.08630878012627	10001.421542495844	114
55	-112.98001987673342	10004.703675609524	61
56	-141.46936467464548	10005.389907271283	924
57	-114.29569144081324	10004.36366051865	72
58	-106.28407170344144	10001.344346317357	46
59	-101.25214019278064	10001.569957259648	73
60	-102.1440680809319	10002.05903117655	72
61	-102.79555377736688	10001.564178656461	83
62	-103.65142664825544	10001.709962346109	82
63	-110.13740566931665	10002.95968115713	52
64	-103.79971389845014	10001.353700870432	57
65	-102.90610631089658	10001.55258372796	128
66	-122.27188819507137	10007.436952764736	108
67	-103.97006147913635	10001.29316951458	78
68	-101.17032905411907	10001.41905793326	99
69	-98.03741592913866	10001.146917931233	84
70	-105.10338586568832	10000.946125107546	61
71	-105.04874567966908	10001.064194991328	115
72	-102.90431811194867	10001.02843873075	72
73	-102.73265583720058	10000.695709994287	65
74	-128.73679201025516	10007.97236773882	210
75	-109.57736690808088	10002.441780596007	148
76	-100.91282232990488	10001.156585636478	70
77	-102.85288483509794	10000.620635215388	49
78	-102.15346306096762	10000.916179352083	64
79	-103.06715793162584	10000.643547384216	64
80	-112.74343191180378	10002.225131629655	126
81	-104.28669596090913	10000.76550527564	50
82	-101.44678465276957	10000.762660668568	65
83	-105.22625145316124	10001.502616377073	118
84	-108.42197642754763	10002.316238712065	60
85	-134.85038243443705	10005.198575785527	657
86	-101.35645027505234	10001.091161473387	101
87	-117.28163478849456	10003.418933168905	531
88	-107.00171632017009	10001.84396344676	258
89	-109.05972489062697	10002.289136275615	47
90	-163.3554785171291	10011.363462978718	1432
91	-104.19974165142048	10001.082344129256	65
92	-120.93571900436655	10003.155048105817	601
93	-103.79901680059265	10000.611733021371	75
94	-119.21474325307645	10005.294139498703	605
95	-106.47349048126489	10001.035677404205	70
96	-107.49230176303536	10002.21926026841	116
97	-112.93665102217346	14.27356783440661	2000
98	-100.58831222029403	10002.093936866779	90
99	-114.25381609611213	10004.595283049102	67
100	-101.6086141665728	11.921281093458223	2000
101	-99.6074681757018	10000.905639478908	86
102	-107.90261895419098	10001.737163814068	210
103	-109.32968806382269	10001.62092799077	67
104	-102.11841354798526	10000.488938983703	63
105	-102.34345386995119	13.989353602684231	2000
106	-101.14425385696813	10001.407277692586	107
107	-118.34064428787678	10004.222015806072	577
108	-173.39406819012947	10009.00728485094	1585
109	-116.40724290057551	10004.72913939872	332
110	-100.79347205348313	10002.035023892427	252
111	-98.90040392614901	10001.345366112493	98
112	-113.49668685509823	10004.79990482723	275
113	-102.63510850491002	10000.989926605826	131
114	-104.60029818571638	12.534774269415035	2000
115	-103.81039560958743	10000.828150021618	76
116	-100.74940281640738	10001.177551197978	74
117	-102.63310611899942	10000.612937538588	66
118	-180.86524232127704	10012.394852086964	1808
119	-95.19202052499168	10.611589556257881	2000
120	-97.68595915683545	10001.34420931238	104
121	-96.69304893631488	10002.074467426977	93
122	-99.26763292268151	12.781634476328597	2000
123	-164.48486140515888	10010.770932791025	1680
124	-149.67229383072117	10008.893246252095	1210
125	-104.28406530665234	10000.676254240525	61
126	-96.79437788017094	10001.674653848566	102
127	-98.34816726762801	10001.777417015524	84
128	-99.91051278915256	10001.8227031185	95
129	-100.18095331452787	10001.276505451511	82
130	-100.9698600624688	10001.099246389142	67
131	-100.28424049261957	10001.405978628016	101
132	-99.95788555406034	10001.703760213844	67
133	-95.57306626671925	10002.57343038384	145
134	-98.20906765479594	10001.252704738461	108
135	-122.44688981282525	10004.811018199502	683
136	-99.48555529862642	10003.00535427406	150
137	-99.45899311639369	10002.599523467954	89
138	-101.02658158773556	10002.299641060608	65
139	-102.06237608497031	10001.802121370056	91
140	-99.32632843218744	10002.235127679247	76
141	-98.22693264577538	10002.90804287424	93
142	-99.81083196692634	10001.840687219172	85
143	-101.52290305495262	10002.702323990008	66
144	-96.90809413325042	10002.148256060947	89
145	-99.74646800209302	10001.069587799562	73
146	-100.8514972422272	10001.39327373071	84
147	-119.41327961580828	10004.665275050258	733
148	-99.58262763079256	10001.509042554675	67
149	-98.47983968211338	10001.608262137253	86
150	-102.09200248448178	10002.214140453361	140
151	-98.10050755366683	10001.760983092776	96
152	-92.12859665416181	10002.431143391925	103
153	-103.62500927923247	10000.737548491155	52
154	-96.48743390664458	10002.083822774028	86
155	-93.47366319131106	10002.723259488688	162
156	-178.10454282426508	10011.427488691335	1792
157	-97.02697192691267	10002.18961859478	126
158	-101.54429964278825	10002.474241539867	99
159	-101.43386245844886	10001.31737748454	82
160	-99.58638563612476	10002.519337640972	104
161	-99.95469736657105	10001.46222881671	67
162	-98.92732707189862	10002.667064587988	117
163	-99.01605664100498	10001.769670866595	75
164	-99.98260836908594	10001.063177274234	108
165	-99.29220045596594	10002.507792555132	130
166	-101.24061413551681	10002.495450113222	89
167	-101.48136999318376	10000.71592433497	62
168	-98.21542178839445	10002.171968634717	139
169	-89.61108098941622	10.825703257447062	2000
170	-95.87408939632587	10001.855611142186	89
171	-97.35461796680465	10003.52898783432	207
172	-89.06818985322025	10.876449669349661	2000
173	-109.3505971240811	10001.500391513548	106
174	-160.9354951849673	10009.800733167729	1752
175	-101.92216538731009	10004.607247683085	168
176	-100.0910313220229	10001.175834974569	114
177	-98.59884439595044	10002.265722947168	102
178	-102.93918257579207	10000.46343901155	66
179	-121.72556075453758	10005.235952741274	592
180	-98.93803006224334	10001.42449912898	103
181	-99.83963137492537	10000.792146963775	92
182	-99.55566413421184	10000.906864311675	65
183	-92.07952588936314	10003.432405517151	272
184	-113.22197799838614	10005.39034229851	96
185	-93.52495654509403	10003.94378040049	405
186	-104.58936411421746	10001.431516416482	124
187	-102.44679087400436	10001.218325112	75
188	-98.0980905238539	10004.269565633645	302
189	-104.44631884153932	10001.026612287382	65
190	-110.63432346936315	10001.601155708786	92
191	-113.9283189876005	10006.611195042191	110
192	-103.5405081929639	10001.734886540871	159
193	-126.892075516982	10006.721558507628	866
194	-81.71509275515564	8.526098874400045	2000
195	-105.92952256579883	10005.591735637387	487
196	-98.79926402587444	10003.005891819397	87
197	-98.6324706422165	10001.527792363402	75
198	-99.82819218165241	10000.936792172986	75
199	-103.42907613888383	10000.710181746977	68
200	-96.32040481903823	10001.58415467412	87
201	-109.0242482740432	10002.159130439757	53
202	-102.26163922064006	10001.20755578295	107
203	-97.56348315067589	10000.949585323078	99
204	-136.9833206149051	10008.456372865101	1225
205	-95.00462282798253	10002.853229448321	307
206	-117.2948309853673	10005.357801839908	67
207	-96.71080673369579	10003.941932228423	321
208	-120.71664210781455	10004.566850821913	774
209	-89.84422847512178	10005.185228811215	227
210	-113.23638467444107	10006.056602224542	310
211	-122.12651124352124	10004.55417326376	837
212	-85.42133788653882	11.2315224680866	2000
213	-145.49488006555475	16.197292318373595	2000
214	-98.47216458851472	10001.720423508279	218
215	-115.84253914351575	10003.596998376577	619
216	-96.19324100576341	10002.592713691669	259
217	-102.77595556690358	10002.21366552504	370
218	-121.79501223471016	10004.866120531495	779
219	-95.97691720852163	10002.124478659194	249
220	-97.3192711758893	10002.42734325995	425
221	-126.51794638764113	10005.641969875012	1190
222	-98.38411991298199	10003.883320632047	347
223	-98.38229827780742	10003.50139960056	371
224	-101.12106598750688	10003.436164912182	485
225	6.449926898465492	14.087644297011236	2000
226	-107.40162387583405	10003.19861697317	471
227	-92.03398161311634	10001.979775375312	295
228	-97.42128350469284	10002.778786486631	266
229	-91.74613933527144	10006.859830763357	755
230	-96.85739371040836	10002.343953928785	351
231	-45.33322582900655	6.854444153804171	2000
232	-106.80757827719208	10004.452832124927	1049
233	-94.72545694513246	10002.415681684864	184
234	-105.84934875695035	10002.539058946555	475
235	-94.97551215672866	10002.02022108747	228
236	-127.49298599449685	10002.886389508722	1318
237	-83.17570106359199	7.556759936774545	2000
238	-74.6501883083256	7.22902673796706	2000
239	-46.59022190159885	6.115017564828136	2000
240	-92.76037391345017	10002.756501892109	146
241	-108.60788005241193	10002.201962310202	655
242	-97.84453887410928	10007.0367000501	996
243	-54.68074080825318	4.966343269138995	2000
244	-112.73164636886213	10008.800551436772	1029
245	-55.62008385831723	9.396209377894657	2000
246	-76.43616544362158	6.809825829148182	2000
247	-37.06310322630452	4.186445253614397	2000
248	-104.31779883662239	10002.919486719096	189
249	-106.55280832503922	10002.307490427376	802
250	-73.28308947221376	10012.325827591756	1214
251	-119.60144246183336	10011.521487870632	249
252	-106.88079577713506	10002.60801228852	666
253	-47.74408767896239	3.891735600481572	2000
254	-94.16573234391399	10014.68100130202	632
255	-106.57190938154235	10005.894224265208	1291
256	-94.16134246476577	10002.446613467306	316
257	-56.878094078740105	5.616367628301272	2000
258	-95.22466760472162	10002.985813052526	287
259	-46.76796492387075	3.704306552357699	2000
260	-126.45077843908803	10003.845835628861	1506
261	-114.43936142069288	10003.878885542434	1079
262	-94.57881245529279	10004.658709678568	207
263	-17.065084880014183	7.1118515797459665	2000
264	-90.99337923317216	10012.222896885842	727
265	-96.45785977947526	10005.689939219328	259
266	-7.433376558008604	9.94451187355216	2000
267	-100.08944656420499	10005.053496780096	474
268	-130.96215182734886	15.614298622808981	2000
269	-90.02835284848697	10003.366786650415	215
270	-20.854555073805386	6.375944414041285	2000
271	-77.92549016000703	10005.609750471847	533
272	-68.85463358392008	10013.893397642354	1335
273	-89.87738637486473	10002.697407296653	243
274	-106.83230300527066	10007.516532267686	298
275	-80.4063807426719	13.772112238806455	2000
276	-26.46833237062674	8.580950580754108	2000
277	-89.4332763319835	10002.484563465558	196
278	-61.995526227285154	10007.971065724128	731
279	-82.17579905036837	10004.980869541014	209
280	-97.51148387836292	10003.438842447482	310
281	5.327143978996901	19.779299132839974	2000
282	-101.58054979389999	10003.665181616667	468
283	-86.32249289611354	10004.527048905991	444
284	-89.43790679983795	10002.66548419042	198
285	-86.78113959496841	10003.673804297281	143
286	-16.19709891063394	5.997089313433048	2000
287	-88.68332354351878	10003.464359094021	271
288	-93.13964049180504	10009.588881658323	916
289	-82.50663746939972	10004.317644784362	275
290	-170.2738215298159	10012.798260132397	1433
291	-78.97418095171452	10004.675668297928	188
292	-128.59323671174934	10008.034116113988	1552
293	-55.91933847218752	10.86330904489574	2000
294	-96.71684387279674	10001.804865664051	185
295	-98.3579184312839	10001.364109402552	232
296	-91.49602032580879	10002.28110202335	151
297	-91.8830742072314	10002.299741659246	162
298	-129.88676997774746	16.438236467832123	2000
299	-100.27398283360526	10003.051100207393	121
300	-92.17408941086615	10004.151831484412	143
301	-113.02026293426752	10002.87789640911	109
302	-93.35395407071337	10003.930286248571	206
303	-104.67784605838824	10004.917629186426	418
304	-70.41568833985366	9.682005082983638	2000
305	-87.07770692743361	10003.654403307724	234
306	-71.07794342073612	10007.951572981776	261
307	-94.66460085613653	10002.526660978592	172
308	-55.666043517761864	13.924708801526954	2000
309	-99.63686785893515	10004.21922408908	296
310	-27.33079540351173	10015.470072267306	955
311	-90.34664234449156	10003.120833815781	157
312	-75.76318337302655	10005.100266482246	257
313	-92.01804182864726	10008.059395296132	271
314	-82.3995455079712	10009.590395477511	348
315	-75.4885321164038	10019.73439911059	1985
316	-85.38044083700515	10003.007884620129	239
317	42.89759514213074	10024.37596408864	1522
318	-60.779250900726765	10011.558130395879	1455
319	-83.59629774931818	10003.61906942389	171
320	-92.43899857671931	10.123374766976294	2000
321	-112.26091852399986	12.261984273975052	2000
322	-94.7768449021969	9.561108805421103	2000
323	-43.5342924145516	10009.05206114836	591
324	-175.70399034558795	10006.707393380424	1577
325	-31.49244075838942	10012.452780035557	690
326	-144.18097980800667	10005.037493283931	1214
327	-43.54604938928969	8.173028669119246	2000
328	-28.337130972649902	10013.310851432469	713
329	-77.65186900552362	10005.278280668661	294
330	-86.9691950189881	10002.423055819614	169
331	-41.97557282377966	10010.344424807608	656
332	-32.35188585310243	3.417743740354942	2000
333	-85.05973075842485	10003.815183179406	333
334	-93.73282664595172	10002.390515056757	200
335	-74.37925582262687	10004.179405351395	372
336	-82.49505652394146	10006.289844851783	363
337	-108.77354083862156	10011.627319448888	269
338	45.00337332498748	17.858173431874935	2000
339	-88.2993427910842	10002.60053064256	176
340	-90.29029788891785	10012.189979918228	482
341	-103.82998670381494	10008.71279809145	316
342	-76.04447002912639	10004.897103434638	270
343	-89.14329185849056	9.522568016843831	2000
344	-72.84775789640844	10006.181130705763	276
345	-92.02326531102881	10002.40079771364	133
346	-80.59415737027302	10005.099053561356	136
347	-97.93848145822994	10009.708563690734	306
348	-84.17306812200695	10003.538299501606	139
349	-58.302890334045514	10012.572850673057	508
350	-84.13275615591556	10004.033244079888	156
351	22.16067379922606	18.277131496024513	2000
352	-92.3651257858146	10001.528411628176	120
353	-86.56443029316142	10002.558204509387	179
354	-70.60199913661927	10008.433801554702	364
355	4.643604842829518	10021.540800643961	1329
356	170.31017144024372	36.350164331210706	2000
357	-53.837139391107485	10006.849350598364	548
358	-71.34688098798506	10005.232215142143	442
359	-94.08234173431993	10003.045635346884	186
360	-5.292307217372581	10019.544725778464	1258
361	-47.56105887296144	10009.355368832848	516
362	-27.062828918220475	8.511827811002405	2000
363	-35.64712177403271	10013.361350924806	508
364	-104.9265097565949	10013.208305870716	276
365	-8.578554269857705	10020.971215813628	856
366	-84.15143307670951	10003.910122307692	194
367	-63.726194301620126	10010.17886168542	230
368	-83.14490717090666	10006.546061312529	466
369	-58.58095933170989	10009.888255392894	353
370	-65.08809090033174	10009.83298279926	220
371	-58.273080724757165	10009.612197193328	296
372	55.99093261640519	18.68836210331732	2000
373	-96.67298107419629	10005.677960119909	216
374	-29.488010336412117	16.207093079739707	2000
375	-95.96155209979042	10002.648371004752	125
376	-138.83604306622874	10007.702945583453	1626
377	-88.9182209149003	10004.547528228846	181
378	-72.94532030820847	15.960795835578095	2000
379	-110.46712999884039	10005.550066796635	487
380	-35.019576403079554	10013.483217425908	598
381	-77.90254224929959	10012.11672410269	468
382	-75.091714927461	10007.738708833043	299
383	-36.18971219845116	10015.546785851278	441
384	-22.24707189993933	10014.843759266683	557
385	-96.20560586918145	10002.260738735426	138
