count	reward_sum	squared_reward_sum	length
0	-104.18705827603117	10003.931819391866	111
1	-185.38709383644164	10016.891595182437	1088
2	-107.78551650512964	10001.811623879183	70
3	-112.25323079712689	10003.492242727414	64
4	-110.78034212440252	10003.170799329146	52
5	-109.18827023357153	10002.723739945597	36
6	-115.15395468426868	10003.28131696725	219
7	-116.11778284981847	10005.602286956053	93
8	-158.23200346319936	10010.689826689877	676
9	-110.64183915406466	10003.174429130264	49
10	-114.35145428590477	10004.65699633493	67
11	-113.85906345024705	10003.232992636442	118
12	-133.71024165442213	10007.482895591442	472
13	-188.47176581795793	10018.450412032887	1175
14	-113.9616369465366	10003.949523382897	81
15	-109.92314660316333	10001.649048456184	89
16	-124.32330929115415	10005.850997435315	258
17	-116.7279050978832	10005.971588696983	82
18	-115.51739244628698	10004.445670804418	90
19	-111.96288635861129	10003.268022393448	60
20	-112.63701762072742	10003.688767331665	60
21	-124.94330208271276	24.086688706616165	2000
22	-121.69291532319039	10006.245507306654	144
23	-113.58418727200478	10002.767608908145	81
24	-102.95878257229924	10001.211832088022	75
25	-105.95809641107917	16.764473059141018	2000
26	-108.1337518170476	10001.839452698567	73
27	-124.08364697429352	12.244093093493538	2000
28	-103.30428003123961	10001.370885034788	101
29	-99.06508853717241	10002.399049709216	290
30	-106.93302235659212	10002.765271695616	169
31	-106.58100018207915	10003.474663458033	208
32	-125.4836306059733	10007.796319482955	121
33	-125.39741056133062	10010.977492563961	121
34	-105.66193480836228	10003.2645091531	158
35	-125.5289959438378	10013.358636819243	79
36	-101.87721866555512	10001.230713693396	58
37	-100.61015023570508	10001.752965714752	113
38	-115.01929864101112	10006.873506772983	59
39	-102.20072945108404	10.410589305670664	2000
40	-104.04996876232326	10001.961240880344	61
41	-88.76276972872438	11.365429937225041	2000
42	-93.24553306464804	8.5789625231578	2000
43	-131.27111134771258	10010.361317513674	168
44	-60.163577373023145	8.596540142655488	2000
45	-154.48610321077285	10014.699881567125	1664
46	-117.31693111732602	10007.091279647888	90
47	-119.82024376885965	10005.613855221674	241
48	-109.84283084236085	10001.992033655257	62
49	-127.94979895837605	10008.927035329898	257
50	-102.95114781334996	10000.766198485122	81
51	-103.31662105023861	10001.760643806618	135
52	-108.12826312426478	8.069456608584984	2000
53	-106.50627991557121	10001.878059903007	74
